"(0,0)","(0,1)","(0,2)","(0,3)","(0,4)","(0,5)","(1,0)","(1,1)","(1,2)","(1,3)","(1,4)","(1,5)","(2,0)","(2,1)","(2,2)","(2,3)","(2,4)","(2,5)","(3,0)","(3,1)","(3,2)","(3,3)","(3,4)","(3,5)","(4,0)","(4,1)","(4,2)","(4,3)","(4,4)","(4,5)","(5,0)","(5,1)","(5,2)","(5,3)","(5,4)","(5,5)"
19.836,0.0,17.766,16.630,16.518,17.672,18.230,15.719,16.531,16.791,0.0,15.321,16.785,15.423,14.439,15.598,16.238,15.236,15.390,14.289,13.416,13.475,15.055,15.892,14.149,0.0,0.0,0.0,12.990,14.630,12.774,11.566,10.503,11.496,12.506,13.471
20.638,0.0,18.476,17.339,17.227,18.381,19.031,16.521,17.249,17.489,0.0,16.030,17.587,16.225,15.164,16.295,16.913,15.910,16.192,15.091,14.145,14.172,15.728,16.543,14.951,0.0,0.0,0.0,13.658,15.281,13.576,12.367,11.200,12.141,13.153,14.119
21.432,0.0,19.178,18.041,17.929,19.083,19.825,17.315,17.960,18.181,0.0,16.732,18.380,17.018,15.881,16.987,17.583,16.580,16.986,15.884,14.867,14.863,16.396,17.190,15.744,0.0,0.0,0.0,14.321,15.927,14.369,13.161,11.972,12.781,13.796,14.762
22.217,0.0,19.874,18.735,18.624,19.778,20.611,18.100,18.663,18.867,0.0,17.427,19.166,17.804,16.591,17.672,18.249,17.244,17.771,16.670,15.584,15.549,17.059,17.833,16.530,0.0,0.0,0.0,14.980,16.569,15.155,13.946,12.754,13.417,14.435,15.402
22.995,0.0,20.562,19.423,19.312,20.466,21.389,18.878,19.360,19.554,0.0,18.115,19.944,18.582,17.293,18.352,18.910,17.904,18.549,17.448,16.348,16.228,17.718,18.471,17.308,0.0,0.0,0.0,15.634,17.207,15.933,14.724,13.531,14.050,15.070,16.037
23.765,0.0,21.244,20.104,19.993,21.147,22.159,19.648,20.050,20.235,0.0,18.796,20.714,19.352,17.989,19.031,19.566,18.559,19.319,18.218,17.109,16.907,18.372,19.105,18.078,0.0,0.0,0.0,16.284,17.840,16.703,15.494,14.300,14.677,15.701,16.667
24.528,0.0,21.919,20.779,20.667,21.821,22.921,20.411,20.734,20.911,0.0,19.470,21.476,20.114,18.680,19.704,20.218,19.208,20.081,18.980,17.863,17.585,19.022,19.735,18.840,0.0,0.0,0.0,16.929,18.470,17.465,16.256,15.063,15.301,16.327,17.294
25.282,0.0,22.587,21.447,21.335,22.489,23.676,21.165,21.410,21.580,0.0,20.138,22.231,20.869,19.363,20.372,20.865,19.854,20.836,19.735,18.610,18.257,19.667,20.360,19.595,0.0,0.0,0.0,17.569,19.094,18.220,17.011,15.817,15.921,16.949,17.916
26.029,0.0,23.248,22.108,21.996,23.150,24.423,21.912,22.080,22.242,0.0,20.799,22.978,21.616,20.040,21.034,21.507,20.494,21.583,20.482,19.349,18.924,20.308,20.981,20.342,0.0,0.0,0.0,18.206,19.715,18.967,17.758,16.565,16.536,17.567,18.534
26.769,0.0,23.903,22.763,22.650,23.804,25.163,22.652,22.744,22.898,0.0,21.453,23.718,22.356,20.710,21.689,22.145,21.130,22.323,21.222,20.081,19.585,20.944,21.598,21.082,0.0,0.0,0.0,18.838,20.331,19.707,18.498,17.304,17.147,18.181,19.148
27.501,0.0,24.551,23.411,23.297,24.452,25.895,23.384,23.400,23.547,0.0,22.100,24.450,23.088,21.373,22.338,22.778,21.761,23.055,21.954,20.806,20.239,21.576,22.210,21.814,0.0,0.0,0.0,19.466,20.943,20.439,19.230,18.037,17.754,18.790,19.758
28.226,0.0,25.192,24.053,23.939,25.093,26.620,24.109,24.050,24.190,0.0,22.742,25.175,23.813,22.030,22.980,23.406,22.387,23.780,22.679,21.523,20.887,22.203,22.818,22.539,0.0,0.0,0.0,20.089,21.551,21.164,19.955,18.762,18.357,19.395,20.363
28.944,0.0,25.828,24.688,24.573,25.728,27.338,24.827,24.694,24.826,0.0,23.376,25.893,24.531,22.680,23.616,24.029,23.008,24.498,23.397,22.234,21.529,22.824,23.422,23.257,0.0,0.0,0.0,20.707,22.154,21.882,20.673,19.479,18.956,19.997,20.964
29.655,0.0,26.457,25.317,25.202,26.356,28.048,25.538,25.331,25.456,0.0,24.005,26.603,25.241,23.324,24.246,24.646,23.624,25.209,24.107,22.937,22.165,23.441,24.021,23.967,0.0,0.0,0.0,21.320,22.753,22.592,21.384,20.190,19.551,20.593,21.561
30.358,0.0,27.081,25.941,25.824,26.978,28.752,26.241,25.962,26.079,0.0,24.627,27.307,25.945,23.962,24.870,25.259,24.235,25.912,24.811,23.633,22.794,24.052,24.616,24.671,0.0,0.0,0.0,21.928,23.348,23.296,22.087,20.893,20.141,21.186,22.154
31.055,0.0,27.700,26.558,26.440,27.594,29.448,26.938,26.588,26.697,0.0,25.243,28.003,26.641,24.593,25.488,25.867,24.840,26.608,25.507,24.322,23.418,24.659,25.206,25.367,0.0,0.0,0.0,22.532,23.938,23.992,22.783,21.590,20.727,21.774,22.742
31.744,0.0,28.313,27.170,27.050,28.204,30.137,27.627,27.208,27.309,0.0,25.853,28.693,27.330,25.218,26.100,26.469,25.441,27.298,26.197,25.004,24.035,25.260,25.793,26.057,0.0,0.0,0.0,23.130,24.524,24.682,23.473,22.279,21.309,22.358,23.326
32.427,0.0,28.920,27.777,27.653,28.808,30.820,28.310,27.822,27.916,0.0,26.456,29.375,28.013,25.838,26.706,27.066,26.036,27.980,26.879,25.680,24.647,25.856,26.374,26.739,0.0,0.0,0.0,23.724,25.105,25.364,24.155,22.962,21.887,22.938,23.906
33.102,0.0,29.522,28.378,28.251,29.405,31.496,28.985,28.431,28.517,0.0,27.054,30.051,28.689,26.483,27.307,27.658,26.626,28.656,27.555,26.349,25.253,26.447,26.951,27.415,0.0,0.0,0.0,24.312,25.682,26.040,24.831,23.637,22.479,23.513,24.481
33.771,0.0,30.119,28.974,28.843,29.997,32.165,29.654,29.034,29.114,0.0,27.646,30.720,29.358,27.145,27.906,28.244,27.211,29.325,28.224,27.014,25.854,27.033,27.524,28.084,0.0,0.0,0.0,24.896,26.255,26.709,25.500,24.306,23.132,24.084,25.052
34.434,0.0,30.710,29.565,29.429,30.583,32.827,30.317,29.632,29.704,0.0,28.232,31.382,30.020,27.800,28.501,28.826,27.791,29.987,28.886,27.675,26.452,27.614,28.092,28.746,0.0,0.0,0.0,25.474,26.823,27.371,26.162,24.969,23.791,24.650,25.618
35.089,0.0,31.297,30.150,30.008,31.163,33.483,30.972,30.225,30.290,0.0,28.811,32.038,30.676,28.449,29.092,29.403,28.366,30.643,29.542,28.330,27.047,28.190,28.656,29.402,0.0,0.0,0.0,26.048,27.386,28.027,26.818,25.624,24.446,25.212,26.180
35.738,0.0,31.877,30.730,30.582,31.737,34.132,31.621,30.812,30.870,0.0,29.385,32.687,31.325,29.092,29.677,29.976,28.937,31.292,30.191,28.978,27.636,28.762,29.215,30.051,0.0,0.0,0.0,26.616,27.945,28.676,27.467,26.273,25.095,25.770,26.738
36.381,0.0,32.453,31.305,31.151,32.305,34.774,32.264,31.394,31.445,0.0,29.954,33.329,31.967,29.728,30.257,30.543,29.502,31.935,30.833,29.620,28.220,29.329,29.770,30.693,0.0,0.0,0.0,27.181,28.500,29.318,28.110,26.916,25.737,26.323,27.291
37.017,0.0,33.024,31.875,31.714,32.868,35.410,32.900,31.970,32.015,0.0,30.517,33.966,32.604,30.359,30.831,31.107,30.063,32.571,31.470,30.256,28.799,29.891,30.320,31.330,0.0,0.0,0.0,27.741,29.050,29.955,28.746,27.552,26.374,26.871,27.840
37.647,0.0,33.589,32.440,32.271,33.425,36.040,33.530,32.541,32.580,0.0,31.074,34.595,33.233,30.982,31.401,31.665,30.619,33.201,32.099,30.885,29.373,30.449,30.865,31.959,0.0,0.0,0.0,28.296,29.595,30.584,29.376,28.182,27.003,27.416,28.384
38.270,0.0,34.150,33.000,32.822,33.976,36.664,34.154,33.107,33.139,0.0,31.625,35.219,33.857,31.600,31.965,32.219,31.171,33.824,32.723,31.508,29.941,31.002,31.407,32.583,0.0,0.0,0.0,28.847,30.137,31.208,29.999,28.806,27.627,27.956,28.924
38.888,0.0,34.705,33.554,33.368,34.522,37.281,34.771,33.668,33.694,0.0,32.171,35.836,34.474,32.212,32.524,32.768,31.717,34.442,33.340,32.124,30.505,31.551,31.943,33.200,0.0,0.0,0.0,29.393,30.673,31.825,30.617,29.423,28.244,28.491,29.459
39.499,0.0,35.255,34.104,33.908,35.063,37.892,35.382,34.224,34.244,0.0,32.711,36.447,35.085,32.817,33.079,33.312,32.259,35.053,33.951,32.735,31.063,32.094,32.476,33.811,0.0,0.0,0.0,29.935,31.206,32.436,31.228,30.034,28.855,29.022,29.990
40.104,0.0,35.801,34.649,34.444,35.598,38.497,35.987,34.775,34.789,0.0,33.247,37.052,35.690,33.417,33.628,33.851,32.796,35.658,34.556,33.339,31.616,32.633,33.004,34.416,0.0,0.0,0.0,30.472,31.734,33.041,31.833,30.639,29.460,29.549,30.517
40.703,0.0,36.341,35.188,34.973,36.128,39.096,36.586,35.321,35.328,0.0,33.776,37.651,36.289,34.010,34.172,34.386,33.329,36.257,35.155,33.937,32.164,33.168,33.528,35.015,0.0,0.0,0.0,31.004,32.257,33.640,32.432,31.238,30.059,30.072,31.040
41.296,0.0,36.877,35.723,35.498,36.652,39.689,37.179,35.901,35.863,0.0,34.301,38.244,36.882,34.598,34.711,34.917,33.857,36.850,35.748,34.530,32.708,33.697,34.047,35.608,0.0,0.0,0.0,31.532,32.777,34.233,33.025,31.831,30.652,30.590,31.558
41.883,0.0,37.411,36.253,36.017,37.171,40.276,37.766,36.482,36.406,0.0,34.820,38.831,37.469,35.183,35.246,35.442,34.380,37.437,36.335,35.116,33.246,34.223,34.562,36.195,0.0,0.0,0.0,32.055,33.292,34.820,33.612,32.418,31.239,31.104,32.072
42.464,0.0,37.945,36.783,36.531,37.685,40.857,38.347,37.057,36.972,0.0,35.334,39.413,38.050,35.764,35.786,35.963,34.899,38.018,36.917,35.697,33.779,34.743,35.073,36.777,0.0,0.0,0.0,32.574,33.802,35.401,34.193,32.999,31.820,31.615,32.581
43.039,0.0,38.478,37.314,37.040,38.194,41.433,38.922,37.628,37.534,0.0,35.843,39.988,38.626,36.339,36.343,36.481,35.413,38.593,37.492,36.273,34.316,35.259,35.579,37.352,0.0,0.0,0.0,33.088,34.309,35.977,34.768,33.575,32.396,32.134,33.087
43.609,0.0,39.009,37.844,37.544,38.698,42.002,39.492,38.193,38.093,0.0,36.347,40.557,39.195,36.908,36.896,36.996,35.923,39.163,38.061,36.842,34.865,35.772,36.081,37.922,0.0,0.0,0.0,33.597,34.811,36.546,35.338,34.144,32.965,32.648,33.589
44.173,0.0,39.538,38.373,38.042,39.197,42.566,40.056,38.753,38.648,0.0,36.845,41.121,39.759,37.471,37.447,37.510,36.432,39.727,38.625,37.406,35.410,36.285,36.579,38.485,0.0,0.0,0.0,34.104,35.308,37.110,35.902,34.708,33.529,33.158,34.088
44.731,0.0,40.065,38.899,38.536,39.690,43.125,40.614,39.308,39.199,0.0,37.339,41.680,40.318,38.029,37.993,38.022,36.937,40.285,39.184,37.964,35.953,36.795,37.073,39.044,0.0,0.0,0.0,34.609,35.802,37.669,36.460,35.266,34.088,33.664,34.582
45.284,0.0,40.589,39.423,39.025,40.179,43.677,41.167,39.858,39.744,0.0,37.828,42.232,40.870,38.581,38.535,38.532,37.440,40.838,39.736,38.517,36.491,37.303,37.567,39.596,0.0,0.0,0.0,35.112,36.292,38.221,37.013,35.819,34.640,34.169,35.072
45.831,0.0,41.111,39.944,39.509,40.663,44.224,41.714,40.402,40.285,0.0,38.312,42.779,41.417,39.128,39.072,39.038,37.941,41.385,40.283,39.064,37.025,37.809,38.065,40.144,0.0,0.0,0.0,35.613,36.782,38.768,37.560,36.366,35.187,34.671,35.558
46.373,0.0,41.630,40.463,39.988,41.142,44.766,42.256,40.941,40.821,0.0,38.791,43.321,41.959,39.670,39.604,39.553,38.440,41.927,40.825,39.606,37.555,38.312,38.561,40.685,0.0,0.0,0.0,36.112,37.274,39.310,38.101,36.908,35.729,35.169,36.044
46.909,0.0,42.145,40.978,40.462,41.617,45.302,42.792,41.475,41.352,0.0,39.265,43.857,42.495,40.206,40.133,40.075,38.944,42.463,41.361,40.142,38.081,38.821,39.055,41.221,0.0,0.0,0.0,36.609,37.765,39.846,38.638,37.444,36.265,35.666,36.532
47.440,0.0,42.657,41.490,40.932,42.086,45.833,43.323,42.004,41.878,0.0,39.735,44.388,43.026,40.736,40.659,40.596,39.453,42.994,41.892,40.673,38.603,39.336,39.553,41.752,0.0,0.0,0.0,37.109,38.254,40.377,39.169,37.975,36.796,36.161,37.018
47.965,0.0,43.166,41.998,41.397,42.551,46.359,43.848,42.528,42.400,0.0,40.200,44.914,43.552,41.262,41.180,41.115,39.962,43.519,42.418,41.198,39.122,39.850,40.057,42.278,0.0,0.0,0.0,37.615,38.747,40.903,39.694,38.501,37.322,36.658,37.502
48.486,0.0,43.671,42.503,41.857,43.011,46.879,44.369,43.046,42.917,0.0,40.660,45.434,44.072,41.782,41.696,41.630,40.468,44.040,42.938,41.719,39.638,40.362,40.560,42.798,0.0,0.0,0.0,38.121,39.245,41.423,40.215,39.021,37.842,37.159,37.989
